recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,상업시설·시장 계열,,GGD-QZNIMGEHDVCBB7QSSHDERAGTQ7,홈플러스병점점,89,37.2035089,127.0367795
KEEP,상업시설·시장 계열,,GGD-HCZOVB7RJZUEHGKMMBEAMH5RQG,이마트남양주점,88,37.6549742,127.2431128
KEEP,카카오 SW8 검증 역세권,,GGD-YDJIXI53I4RXCKTULNRTLEN4HF,지행역_2번출구,87,37.8941617,127.0563389
KEEP,상업시설·시장 계열,,GGD-EOXQLWCQNR7HMXAYYKKY3QBGEE,안양농수산물도매시장,82,37.3821932,126.9693421
KEEP,카카오 SW8 검증 역세권,,GGD-GHW5LY2URAVQT2JE4ZPMRCYJUR,송내역,81,37.4900883,126.7472070
KEEP,관광·문화 계열,,GGD-AJ77J73A6UV47TRUNMQVTQSVOY,군포문화원,80,37.3458535,126.9434553
KEEP,카카오 SW8 검증 역세권,,GGD-JOS5HESKDRJJTFAQ7YSNIOY6QO,동두천중앙역_1,76,37.9036680,127.0522755
KEEP,관광·문화 계열,,GGD-L5M4R45P2QTOWNBJAUMHAOZJZ2,벨라지오관광호텔,73,36.9861268,126.8449710
KEEP,관광·문화 계열,,GGD-SJQ7WU66DZC25VZEZRFNMLXG6B,여주문화원,73,37.2945150,127.6381757
KEEP,상업시설·시장 계열,,GGD-LUMEUAYEQWA5KUGIEE2LWDAQ2S,홈플러스포천송우점,70,37.8239309,127.1395552
KEEP,상업시설·시장 계열,,GGD-NITVWRBPLNWN34CYAGUCGDTLC4,홈플러스진접점,69,37.7224359,127.1893651
KEEP,상업시설·시장 계열,,GGD-B4JKNJSRRXAC4DGL4GCWRTAF4Q,롯데마트평택점,67,36.9887446,127.1118868
KEEP,카카오 SW8 검증 역세권,,GGD-MHV3ZF6FINWH6KQVEVLXBGJL3S,망포역_3번출구,67,37.2454100,127.0557003
KEEP,관광·문화 계열,,GGD-6V4EOPH6ZEBS7OU6JJXIBJAAOL,화성문화원,67,37.1324032,126.9224554
KEEP,상업시설·시장 계열,,GGD-LONZLGUAC5N5AN5JKYL545SKXG,이마트죽전점,62,37.3252840,127.1099516
KEEP,상업시설·시장 계열,,GGD-PYHEXLWF4S2YUHUWKBWJLEHWG2,홈플러스분당오리점,60,37.3409204,127.1066747
KEEP,카카오 SW8 검증 역세권,,GGD-723UO3WTLQNJPCYKP65UPCYWHQ,영통역,59,37.2518390,127.0725411
KEEP,카카오 SW8 검증 역세권,,GGD-PSIFPXZFC23I76USWGAOTQH46S,지행역,59,37.8903538,127.0558829
KEEP,상업시설·시장 계열,,GGD-5AGZR6JBA3AA2NXOGRIROJFWQS,롯데마트마석점,58,37.6504157,127.3094278
KEEP,상업시설·시장 계열,,GGD-33HAF5EWBLIWYMOUFQEWGAHZFW,롯데마트시화점,55,37.3371252,126.7292646
KEEP,관광·문화 계열,,GGD-2W4Y4Q4M5VXUU6OU5ABZYPVQL4,송탄관광호텔,53,37.0787189,127.0517207
KEEP,카카오 SW8 검증 역세권,,GGD-2N5TBW2MXV2AIJRLGGK3RCP5O7,금촌역,51,37.7658136,126.7743214
KEEP,관광·문화 계열,,GGD-ZIZWDJZYEQGXN6ONW4HI37S7WV,경기예술고등학교,49,37.5059167,126.7613735
KEEP,카카오 SW8 검증 역세권,,GGD-42H3E5KIURWMPJPUXTAIU3NNV2,탄현역,47,37.6957903,126.7604938
KEEP,상업시설·시장 계열,,GGD-J2YGQ4W52LTCPY6LSUROZP3XQP,롯데마트수지점,46,37.3205502,127.0991443
KEEP,상업시설·시장 계열,,GGD-ADNDYZFLXWBQZQG6SX3MVT24RU,이마트안양점,44,37.3977560,126.9364536
KEEP,카카오 SW8 검증 역세권,,GGD-MB3KE4IK354FIHXNW5CW2SXWUD,동두천중앙역_2,35,37.9012030,127.0570516
KEEP,상업시설·시장 계열,,GGD-UXZ4GBGDSRBSCFAZGQ7R4JBL2X,이마트이천점,29,37.2950656,127.4582699
KEEP,카카오 SW8 검증 역세권,,GGD-6YBFZFT4I6MFJODOOE6CIRDV5U,연천역급수탑,28,38.1027857,127.0756692
KEEP,카카오 SW8 검증 역세권,,GGD-SCUSJXWOHKLE27KQHTBPTVVNVG,금정역_6번출구,7,37.3737483,126.9418714
KEEP,카카오 SW8 검증 역세권,,GGD-TO4KHH57TXKYU44HXHFOJWCOEO,성복역,1,37.3134478,127.0821037
