recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
EXCLUDE,도로·길 원본 구간명,,GGD-KO6RWFWIEMQHOWPO4JFXJ3KRAF,금오로,28,37.7537129,127.0686257
EXCLUDE,도로·길 원본 구간명,,GGD-42PT7RM4Q3PHUJWO3PLEWFVX3N,숙성시장길,28,37.0083154,126.9833359
EXCLUDE,도로·길 원본 구간명,,GGD-3NDKE4T5HU65ZKMSFTAQRH7ZDD,원평로39번길,28,36.9891477,127.0840178
EXCLUDE,도로·길 원본 구간명,,GGD-LGP6QDRNQ46SSKU6BL6YP43AIR,현암로_2,28,37.3321759,127.1237842
EXCLUDE,도로·길 원본 구간명,,GGD-TSAKK4GHDG36HCOCW2QOHQL33L,정조로,27,37.2552485,127.0106341
EXCLUDE,도로·길 원본 구간명,,GGD-CSXYVIM2YDJ52AUZYG5Q2U5HKM,경기대로1376번길,26,37.0696977,127.0647471
EXCLUDE,도로·길 원본 구간명,,GGD-6RUPC5ZFIEN5HXIEIRF4WJZK2F,독바위로,26,37.8388325,127.0622333
EXCLUDE,도로·길 원본 구간명,,GGD-Z6TGW2BPX7JXX6KZTPCEPBQJY6,수성로,26,37.2930397,127.0085795
EXCLUDE,도로·길 원본 구간명,,GGD-YTGEPBDUDFTSKACKFWR7O4ORBB,용구대로_2,26,37.2991148,127.1070263
EXCLUDE,도로·길 원본 구간명,,GGD-KYNCI2Z2UPMSNE3RBD7OQZIQCL,원곡성당길,26,37.3260701,126.8004546
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-GT7C5MHSUWEQ2PJ4OWLDZSI6BK,의왕신안우편취급국,26,37.3596610,126.9628164
EXCLUDE,도로·길 원본 구간명,,GGD-YOQOWKAMAV2L7HJJHV2M5MWAY3,청명로_2,26,37.2512468,127.0815777
EXCLUDE,도로·길 원본 구간명,,GGD-BGARH5J2LXWFREFA2ONNFCN2RV,경충대로,25,37.3071838,127.4021414
EXCLUDE,도로·길 원본 구간명,,GGD-NACYET4BKWH25W7LRFWOUIYI7W,매영로,25,37.2484505,127.0748661
EXCLUDE,도로·길 원본 구간명,,GGD-UJJLALKVRABP2HVRPBPCIRUVUK,서하남로23번길,25,37.5185508,127.1487598
EXCLUDE,도로·길 원본 구간명,,GGD-NMVKXQ2DS6FMAHXBHRL6F2VMZI,내손순환로_2,24,37.3904018,126.9817688
EXCLUDE,도로·길 원본 구간명,,GGD-E4JBUKPKL7SG3TLM7FKFWHWSHI,마지로,24,37.4277576,127.1435224
EXCLUDE,도로·길 원본 구간명,,GGD-N7E5CJLT4ATHPJ6G6LPDTWWX35,삼작로_2,24,37.5194552,126.7959691
EXCLUDE,도로·길 원본 구간명,,GGD-A6OOAU6PULVDP5V2FMI2FAO7RY,순암로492번길,24,37.4134106,127.1977823
EXCLUDE,도로·길 원본 구간명,,GGD-Q74OH35PKB43JRLVS5QSWUZQ3X,동거리길,23,37.7806799,126.8506687
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-NT6FE33JCBPTDYJ46CFFI2MBZI,수지119안전센터,23,37.3262142,127.1003322
EXCLUDE,도로·길 원본 구간명,,GGD-I2V5R2URIJISUQYVNTVKO5MWII,초당로,23,37.2846820,126.8496895
EXCLUDE,도로·길 원본 구간명,,GGD-DRLQZ64CBRNNKBZFP42ZW5H7FF,헌릉로890번길,23,37.4675990,127.1289307
EXCLUDE,도로·길 원본 구간명,,GGD-DR477YT63FGHKQRBREO7WEFBKW,중앙로_1,22,37.0051891,127.2779900
EXCLUDE,도로·길 원본 구간명,,GGD-CGYM42QGGB4AQ2JNH77QVJ7JYV,서하남로,21,37.5158994,127.1472906
EXCLUDE,도로·길 원본 구간명,,GGD-GHBXCDNMAR6XN3E5CLPGSVXM27,큰솔로7번안길,21,37.3413369,126.7504871
EXCLUDE,도로·길 원본 구간명,,GGD-ZW43OCXAUQTOKRZIUBMTFYH3IE,하남대로,21,37.5430942,127.2053787
EXCLUDE,도로·길 원본 구간명,,GGD-DR3ARGACRAPNKPWQGBGLUJ5A3B,금산1길,20,37.0118323,127.2705023
EXCLUDE,도로·길 원본 구간명,,GGD-2B36OENDX3DSQDZDD45EBO342F,성남대로925번길,20,37.4109696,127.1251647
EXCLUDE,도로·길 원본 구간명,,GGD-335R5GM5LA75HI4KYKFOOMXUKO,신흥로_2,20,37.7345359,127.0430981
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-4JGGQ2MNPD7NQF3HZGPAH7SKCF,안성2동주민센터,20,36.9986323,127.2696367
EXCLUDE,도로·길 원본 구간명,,GGD-BOLN5VO5DVV3R5B6VFFQJLNEFM,다솜마을2길,19,37.3496539,126.7435778
EXCLUDE,도로·길 원본 구간명,,GGD-G4ZHYE52NUHWRF7PLTDURYC5CU,덕풍북로259번길,19,37.5476346,127.2106995
EXCLUDE,도로·길 원본 구간명,,GGD-3NFVUHDQ4IVCGKNQBGXDR3USCI,벌말로,19,37.5922064,127.1495058
EXCLUDE,도로·길 원본 구간명,,GGD-MPZQMXZIJ7FC2QXIEESNIK6ABJ,사임당로,19,37.8653635,126.8055851
EXCLUDE,도로·길 원본 구간명,,GGD-ABGNQORHLW2NCFUA3DK2GLL6D3,추동로140번길,19,37.7474574,127.0693311
EXCLUDE,도로·길 원본 구간명,,GGD-CB52TPSSMEO3D77QSDCXHIA5N4,돌문로,18,37.6159022,126.7246225
EXCLUDE,도로·길 원본 구간명,,GGD-UHH3HUWDF2GLJ5CV5IEA4WW3WD,평화로,18,37.8910659,127.0572966
EXCLUDE,도로·길 원본 구간명,,GGD-6CSVOUEQ3QG7ENFJY636A7ZYIM,중앙로,17,37.9007637,127.2069628
EXCLUDE,도로·길 원본 구간명,,GGD-GUIXB6D73P7YEGACDLT4E2HQUJ,지도로,17,37.6213425,126.8250340
EXCLUDE,도로·길 원본 구간명,,GGD-WCQ52RUAAX3YDOF63SX7F2KYTM,평택5로,17,36.9934478,127.1127921
EXCLUDE,도로·길 원본 구간명,,GGD-NK5IPQYWMBILAMANKBFSRTJCVO,생골로,16,37.9000222,127.0594150
EXCLUDE,도로·길 원본 구간명,,GGD-THIANGKWNW56GLNVK6RU76YG26,송탄2로49번길,16,37.0729211,127.0562134
EXCLUDE,도로·길 원본 구간명,,GGD-YAHNZVXPH6EVU4DIOCZVPTLZG3,정왕천로,16,37.3414088,126.7482921
EXCLUDE,도로·길 원본 구간명,,GGD-LSX73475CIPWYFB5SDS57BH5P7,신갈로_2,15,37.2707676,127.1049891
EXCLUDE,도로·길 원본 구간명,,GGD-5CUYKURTGIQ3WCYUF2ESDHNCA3,풍덕천로96번길,15,37.3207361,127.0940929
EXCLUDE,도로·길 원본 구간명,,GGD-SHWG7S6E2YO447LXFZINYXAMJG,경기대로,13,37.2112935,127.0331270
EXCLUDE,도로·길 원본 구간명,,GGD-J5AYXCRKWD5T5ICAUWTWNORDQC,평동로,10,37.2606220,126.9960301
EXCLUDE,도로·길 원본 구간명,,GGD-2SLIIUHS5K24N2TUMMB4ZXKMIY,세화로,8,37.2627921,126.9943186
EXCLUDE,도로·길 원본 구간명,,GGD-5QHJLCXF6OFSH3DFCHQBSXZ4N2,사기막골로_2,7,37.4412181,127.1761553
EXCLUDE,도로·길 원본 구간명,,GGD-VBKIQWRGW4BXF43DGQMNWUOCBX,오리로_3,7,37.4756332,126.8638638
EXCLUDE,도로·길 원본 구간명,,GGD-HBDWXQI7T5G4T73V77BUBH4ZUY,정조로712번길,7,37.2723271,127.0173140
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-GDVAOBVKR5KDDGZ3EENV4JUTR3,안산시청,5,37.3223045,126.8318126
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-JUXE4EBXR5DHTJSG4XAEXXS3FQ,덕양구청,2,37.6371463,126.8322983
EXCLUDE,도로·길 원본 구간명,,GGD-K7V77MX4ARDAIZP6RIGPDKDHZI,모락로,1,37.3600408,126.9664726
KEEP,카카오 SW8 검증 역세권,,GGD-2S3HFLTGVKIZJBUMNH2QRCJNDA,산본역_3번출구,1578,37.3600409,126.9314254
KEEP,상업시설·시장 계열,,GGD-KQ5TVSTGMIMVWU26ATE3KVDYQJ,이마트동백점,1549,37.2765740,127.1513476
KEEP,카카오 SW8 검증 역세권,,GGD-TNYOLABZF4BVHSPEJRLLB4CZHE,수원시청역_7번출구,1404,37.2648464,127.0294507
KEEP,카카오 SW8 검증 역세권,,GGD-GEIHGMHNLBEFE3B7GCI4KFQP5U,신중동역_3번출구,1400,37.5021214,126.7726339
KEEP,카카오 SW8 검증 역세권,,GGD-EJMTOPMOTRZB574JIQ46L57N45,서현역,1275,37.3850794,127.1234387
KEEP,카카오 SW8 검증 역세권,,GGD-MP6JQQY2ZCRLGTP4TZKDF3VBDO,수내역,1208,37.3786252,127.1144517
KEEP,카카오 SW8 검증 역세권,,GGD-OQFUCLXGOX57ZDFZTWQAC7ZTIV,범계역_1번출구,992,37.3907451,126.9536420
KEEP,카카오 SW8 검증 역세권,,GGD-EGIQ3TO24HKE5W5HHKT3YQNEV5,모란역_12번출구,924,37.4316419,127.1318861
KEEP,상업시설·시장 계열,,GGD-2CI6XS3QRK3RGFTXUOT6FBSFA5,롯데시네마센트럴락,901,37.3177261,126.8397940
KEEP,상업시설·시장 계열,,GGD-M23GSOXCWQAYBCC5LQQ3UJNSLF,롯데애비뉴엘안산점,821,37.3180300,126.8351265
KEEP,상업시설·시장 계열,,GGD-UQAYZ6X3KY4ARCMF7WH4DFQA37,롯데시네마병점,787,37.2111794,127.0377053
KEEP,카카오 SW8 검증 역세권,,GGD-VG35LH34LY4XP56M2GHI5EH5SU,상동역_3번출구,732,37.5047420,126.7503863
KEEP,카카오 SW8 검증 역세권,,GGD-MFKNPVQUTAMSETRTEE57LIHRXC,정발산역,720,37.6572358,126.7712636
KEEP,카카오 SW8 검증 역세권,,GGD-BLVFAV77CHMRO7Y7J636C6OK24,마석역,705,37.6543076,127.3062056
KEEP,카카오 SW8 검증 역세권,,GGD-YMKEVY33RNMZVBDHZCSUT6JNJM,광명사거리역,696,37.4815845,126.8566465
KEEP,상업시설·시장 계열,,GGD-FGU7HFVTO2KPBWACSWUAXB33RJ,뉴코아아울렛동수원점,694,37.2638668,127.0346274
KEEP,상업시설·시장 계열,,GGD-KCUX4ZTHSGQNEHIJ3K4GGRKINN,롯데시네마송탄,681,37.0684330,127.0587263
KEEP,카카오 SW8 검증 역세권,,GGD-GVDXVIOMOR3LCJT2LPO4WQPQIM,수원역_7번출구,672,37.2683651,127.0024235
KEEP,카카오 SW8 검증 역세권,,GGD-3BKWAFIJE2QZ4LIQRAMR7P5V7J,부천시청역_3번출구,667,37.5034266,126.7612904
